r_circ mass j/j_circ snap omega_e omega_e1 omega_l alpha mu mean_morph mean_morphf mask_morph
rc25 M2.5e+06 L0.80 SNAP030 0.4549432098865509 0.4549432098865509 0.1658002883195877 1.005394458770752 0.36444172263145447 0.05197164788842201 0.2226123958826065 0.0991450846195221
rc25 M2.5e+06 L0.80 SNAP040 0.6065909266471863 0.6065909266471863 0.22106705605983734 1.005394458770752 0.36444172263145447 0.046590447425842285 0.2024085372686386 0.08137349039316177
rc25 M2.5e+06 L0.80 SNAP050 0.758238673210144 0.758238673210144 0.2763338088989258 1.005394458770752 0.36444172263145447 0.12651169300079346 0.27880337834358215 0.1673923134803772
rc25 M2.5e+06 L0.80 SNAP060 0.9098864197731018 0.9098864197731018 0.3316005766391754 1.005394458770752 0.36444172263145447 0.08016519248485565 0.19700072705745697 0.12023301422595978
rc25 M2.5e+06 L0.80 SNAP070 1.0615341663360596 1.005394458770752 0.38686734437942505 1.005394458770752 0.38479161262512207 0.0997692197561264 0.22052372992038727 0.11786212027072906
rc25 M2.5e+06 L0.80 SNAP080 1.2131818532943726 1.005394458770752 0.4421341121196747 1.005394458770752 0.43976184725761414 0.13627485930919647 0.1981009989976883 0.19673793017864227
rc25 M2.5e+06 L0.90 SNAP030 0.4532848000526428 0.4532848000526428 0.15426629781723022 1.2922148704528809 0.34032976627349854 0.0468350425362587 0.21503661572933197 0.09656944870948792
rc25 M2.5e+06 L0.90 SNAP040 0.6043797135353088 0.6043797135353088 0.20568841695785522 1.2922148704528809 0.34032976627349854 0.041371285915374756 0.20524311065673828 0.07202737033367157
rc25 M2.5e+06 L0.90 SNAP050 0.7554746866226196 0.7554746866226196 0.25711050629615784 1.2922148704528809 0.34032976627349854 0.08614317327737808 0.24683059751987457 0.12056993693113327
rc25 M2.5e+06 L0.90 SNAP060 0.9065696001052856 0.9065696001052856 0.30853262543678284 1.2922148704528809 0.34032976627349854 0.04899366572499275 0.18471987545490265 0.07897429168224335
rc25 M2.5e+06 L0.90 SNAP070 1.0576645135879517 1.0576645135879517 0.35995471477508545 1.2922148704528809 0.34032976627349854 0.08492384850978851 0.22912204265594482 0.12398058921098709
rc25 M2.5e+06 L0.90 SNAP080 1.2087594270706177 1.2087594270706177 0.41137680411338806 1.2922148704528809 0.34032976627349854 0.08961864560842514 0.1652214676141739 0.13350090384483337
rc25 M2.5e+06 L0.95 SNAP030 0.44967013597488403 0.44967013597488403 0.14743424952030182 1.5084965229034424 0.32787200808525085 0.04380368813872337 0.2036554515361786 0.08606231212615967
rc25 M2.5e+06 L0.95 SNAP040 0.5995602011680603 0.5995602011680603 0.1965789943933487 1.5084965229034424 0.32787200808525085 0.031046323478221893 0.1990332305431366 0.06950021535158157
rc25 M2.5e+06 L0.95 SNAP050 0.7494502067565918 0.7494502067565918 0.24572373926639557 1.5084965229034424 0.32787200808525085 0.05846121534705162 0.226925328373909 0.10097543150186539
rc25 M2.5e+06 L0.95 SNAP060 0.8993402719497681 0.8993402719497681 0.29486849904060364 1.5084965229034424 0.32787200808525085 0.03792339190840721 0.2023790180683136 0.0665564090013504
rc25 M2.5e+06 L0.95 SNAP070 1.0492303371429443 1.0492303371429443 0.3440132439136505 1.5084965229034424 0.32787200808525085 0.07061869651079178 0.22274713218212128 0.10876978933811188
rc25 M2.5e+06 L0.95 SNAP080 1.1991204023361206 1.1991204023361206 0.3931579887866974 1.5084965229034424 0.32787200808525085 0.05951697379350662 0.1786842942237854 0.09548819810152054
rc25 M2.5e+07 L0.05 SNAP030 0.4524126648902893 0.04491385817527771 0.5181607007980347 0.04491385817527771 11.536766052246094 0.21458064019680023 0.2891278564929962 0.27094367146492004
rc25 M2.5e+07 L0.05 SNAP040 0.6032168865203857 0.04491385817527771 0.6908808946609497 0.04491385817527771 15.382354736328125 0.22554947435855865 0.29599207639694214 0.28824231028556824
rc25 M2.5e+07 L0.05 SNAP050 0.7540211081504822 0.04491385817527771 0.8636011481285095 0.04491385817527771 19.227943420410156 0.32751911878585815 0.38403579592704773 0.35018572211265564
rc25 M2.5e+07 L0.05 SNAP060 0.9048253297805786 0.04491385817527771 1.0363214015960693 0.04491385817527771 23.073532104492188 0.3044890761375427 0.364385187625885 0.3760002553462982
rc25 M2.5e+07 L0.05 SNAP070 1.0556294918060303 0.04491385817527771 1.2090415954589844 0.04491385817527771 26.91912078857422 0.3555717468261719 0.4348463714122772 0.37968820333480835
rc25 M2.5e+07 L0.05 SNAP080 1.2064337730407715 0.04491385817527771 1.3817617893218994 0.04491385817527771 30.76470947265625 0.3443059027194977 0.43296703696250916 0.4015505313873291
rc25 M2.5e+07 L0.10 SNAP030 0.5743446350097656 0.09019559621810913 0.5291385650634766 0.09019559621810913 5.866567611694336 0.1944867968559265 0.28969529271125793 0.2737155258655548
rc25 M2.5e+07 L0.10 SNAP040 0.7657927870750427 0.09019559621810913 0.7055180668830872 0.09019559621810913 7.822090148925781 0.22816158831119537 0.30027979612350464 0.26368221640586853
rc25 M2.5e+07 L0.10 SNAP050 0.9572409987449646 0.09019559621810913 0.8818976283073425 0.09019559621810913 9.777612686157227 0.32541999220848083 0.37219440937042236 0.351728230714798
rc25 M2.5e+07 L0.10 SNAP060 1.1486892700195312 0.09019559621810913 1.0582771301269531 0.09019559621810913 11.733135223388672 0.3029036521911621 0.3829520046710968 0.34962713718414307
rc25 M2.5e+07 L0.10 SNAP070 1.3401374816894531 0.09019559621810913 1.2346566915512085 0.09019559621810913 13.688657760620117 0.346686989068985 0.42349302768707275 0.37417009472846985
rc25 M2.5e+07 L0.10 SNAP080 1.531585693359375 0.09019559621810913 1.4110361337661743 0.09019559621810913 15.644180297851562 0.3431725800037384 0.3871270418167114 0.38163191080093384
rc25 M2.5e+07 L0.20 SNAP030 0.7230639457702637 0.18310970067977905 0.5088525414466858 0.18310970067977905 2.778949022293091 0.20218686759471893 0.3054811656475067 0.2985858917236328
rc25 M2.5e+07 L0.20 SNAP040 0.9640852212905884 0.18310970067977905 0.6784700155258179 0.18310970067977905 3.7052652835845947 0.22031497955322266 0.2961917817592621 0.3268028795719147
rc25 M2.5e+07 L0.20 SNAP050 1.205106496810913 0.18310970067977905 0.8480875492095947 0.18310970067977905 4.631581783294678 0.3146226704120636 0.34374937415122986 0.3628696799278259
rc25 M2.5e+07 L0.20 SNAP060 1.4461278915405273 0.18310970067977905 1.0177050828933716 0.18310970067977905 5.557898044586182 0.29132434725761414 0.3684747815132141 0.3379892110824585
rc25 M2.5e+07 L0.20 SNAP070 1.687149167060852 0.18310970067977905 1.1873224973678589 0.18310970067977905 6.4842143058776855 0.34217241406440735 0.40880873799324036 0.3924500644207001
rc25 M2.5e+07 L0.20 SNAP080 1.9281704425811768 0.18310970067977905 1.3569400310516357 0.18310970067977905 7.4105305671691895 0.32422229647636414 0.38429275155067444 0.370395302772522
